season_id,season_label,event_id,home_team,away_team,fetch_ok,match_url,match_date,match_time,ok,season_id_stats,away_accurate_passes,away_aerial_duels,away_aerial_duels_total,away_ball_possession,away_big_chances,away_big_chances_missed,away_big_chances_scored,away_big_saves,away_blocked_shots,away_clearances,away_corner_kicks,away_crosses,away_crosses_total,away_dispossessed,away_dribbles,away_dribbles_total,away_duels,away_errors_lead_to_a_goal,away_errors_lead_to_a_shot,away_expected_goals,away_final_third_entries,away_final_third_phase,away_final_third_phase_total,away_fouled_in_final_third,away_fouls,away_free_kicks,away_goal_kicks,away_goalkeeper_saves,away_goals_prevented,away_ground_duels,away_ground_duels_total,away_high_claims,away_hit_woodwork,away_interceptions,away_long_balls,away_long_balls_total,away_offsides,away_passes,away_penalty_saves,away_recoveries,away_red_cards,away_shots_inside_box,away_shots_off_target,away_shots_on_target,away_shots_outside_box,away_tackles,away_tackles_won,away_tackles_won_total,away_through_balls,away_throw_ins,away_total_saves,away_total_shots,away_total_shots__totalshotsongoal,away_total_tackles,away_touches_in_penalty_area,away_yellow_cards,home_accurate_passes,home_aerial_duels,home_aerial_duels_total,home_ball_possession,home_big_chances,home_big_chances_missed,home_big_chances_scored,home_big_saves,home_blocked_shots,home_clearances,home_corner_kicks,home_crosses,home_crosses_total,home_dispossessed,home_dribbles,home_dribbles_total,home_duels,home_errors_lead_to_a_goal,home_errors_lead_to_a_shot,home_expected_goals,home_final_third_entries,home_final_third_phase,home_final_third_phase_total,home_fouled_in_final_third,home_fouls,home_free_kicks,home_goal_kicks,home_goalkeeper_saves,home_goals_prevented,home_ground_duels,home_ground_duels_total,home_high_claims,home_hit_woodwork,home_interceptions,home_long_balls,home_long_balls_total,home_offsides,home_passes,home_penalty_saves,home_recoveries,home_red_cards,home_shots_inside_box,home_shots_off_target,home_shots_on_target,home_shots_outside_box,home_tackles,home_tackles_won,home_tackles_won_total,home_through_balls,home_throw_ins,home_total_saves,home_total_shots,home_total_shots__totalshotsongoal,home_total_tackles,home_touches_in_penalty_area,home_yellow_cards
48772,2023,11041320,Albirex Niigata,Hougang Utd,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:11041320,27/08/2023,06:00,1,48772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,2023,11041321,Tanjong Pagar Utd.,DPMM,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tanjong-pagar-united/NkbsKGn#id:11041321,26/08/2023,06:00,1,48772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,2023,11041322,Lion City Sailors,DPMM,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-lion-city-sailors/QkbsKGn#id:11041322,11/07/2023,07:45,1,48772,198.0,11.0,17.0,41.0,,,,,2.0,12.0,6.0,1.0,6.0,7.0,18.0,31.0,42.0,,2.0,1.65,,22.0,42.0,,7.0,2.0,11.0,2.0,,43.0,111.0,,1.0,16.0,14.0,35.0,3.0,269.0,,,0.0,13.0,4.0,8.0,2.0,5.0,,,3.0,22.0,2.0,15.0,15.0,5.0,19.0,1.0,341.0,6.0,18.0,59.0,,,,,5.0,11.0,4.0,11.0,24.0,6.0,21.0,26.0,39.0,,5.0,2.27,,38.0,66.0,,8.0,4.0,6.0,5.0,,44.0,108.0,,0.0,11.0,19.0,53.0,4.0,419.0,,,1.0,10.0,8.0,3.0,6.0,5.0,,,4.0,17.0,5.0,16.0,16.0,5.0,21.0,0.0
48772,2023,11041323,Geylang Int.,Tampines Rovers,1,https://www.sofascore.com/football/match/geylang-international-tampines-rovers/TkbsUkb#id:11041323,02/07/2023,06:00,1,48772,431.0,7.0,16.0,58.0,,,,,7.0,13.0,4.0,3.0,20.0,7.0,25.0,33.0,35.0,,0.0,1.98,,57.0,76.0,,14.0,2.0,4.0,3.0,,51.0,147.0,0.0,2.0,12.0,22.0,38.0,3.0,505.0,,,0.0,10.0,6.0,4.0,9.0,3.0,,,0.0,23.0,3.0,19.0,19.0,3.0,33.0,0.0,257.0,11.0,18.0,42.0,,,,,3.0,12.0,3.0,1.0,10.0,10.0,19.0,25.0,30.0,,2.0,0.64,,25.0,42.0,,9.0,3.0,12.0,3.0,,45.0,166.0,1.0,0.0,24.0,21.0,44.0,2.0,331.0,,,0.0,6.0,1.0,4.0,2.0,5.0,,,2.0,11.0,3.0,8.0,8.0,5.0,9.0,1.0
48772,2023,11041324,Tanjong Pagar Utd.,Lion City Sailors,1,https://www.sofascore.com/football/match/lion-city-sailors-tanjong-pagar-united/NkbsQkb#id:11041324,01/07/2023,06:00,1,48772,503.0,8.0,21.0,64.0,,,,,2.0,8.0,3.0,10.0,34.0,3.0,14.0,20.0,35.0,,0.0,4.88,,63.0,78.0,,8.0,1.0,5.0,2.0,,37.0,105.0,0.0,1.0,17.0,17.0,27.0,1.0,564.0,,,0.0,18.0,9.0,12.0,6.0,2.0,,,3.0,28.0,2.0,24.0,24.0,2.0,38.0,1.0,233.0,13.0,23.0,36.0,,,,,1.0,17.0,4.0,1.0,2.0,4.0,11.0,17.0,33.0,,7.0,0.36,,15.0,25.0,,6.0,2.0,16.0,5.0,,26.0,94.0,2.0,0.0,16.0,20.0,40.0,1.0,279.0,,,0.0,2.0,1.0,3.0,3.0,2.0,,,0.0,8.0,5.0,5.0,5.0,2.0,4.0,3.0
48772,2023,11041325,Hougang Utd,Balestier Khalsa,1,https://www.sofascore.com/football/match/hougang-united-balestier-khalsa/OkbsIGn#id:11041325,02/07/2023,06:00,1,48772,239.0,16.0,33.0,44.0,,,,,3.0,15.0,8.0,8.0,17.0,1.0,27.0,33.0,41.0,,5.0,2.23,,37.0,44.0,,16.0,5.0,7.0,6.0,,46.0,117.0,1.0,0.0,15.0,23.0,38.0,1.0,301.0,,,0.0,10.0,3.0,10.0,6.0,1.0,,,2.0,16.0,6.0,16.0,16.0,1.0,26.0,1.0,248.0,13.0,28.0,56.0,,,,,8.0,14.0,10.0,5.0,11.0,5.0,15.0,23.0,33.0,,4.0,3.13,,24.0,42.0,,14.0,5.0,6.0,7.0,,35.0,115.0,1.0,0.0,16.0,28.0,51.0,3.0,308.0,,,0.0,9.0,5.0,6.0,10.0,7.0,,,5.0,16.0,7.0,19.0,19.0,7.0,20.0,5.0
48772,2023,11041326,Young Lions,DPMM,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-young-lions/HGnsKGn#id:11041326,12/08/2023,06:00,1,48772,203.0,15.0,56.0,43.0,,,,,1.0,18.0,0.0,4.0,11.0,2.0,15.0,31.0,31.0,,3.0,2.19,,28.0,43.0,,12.0,0.0,14.0,6.0,,44.0,132.0,1.0,0.0,15.0,32.0,58.0,0.0,271.0,,,0.0,6.0,6.0,4.0,5.0,3.0,,,1.0,19.0,6.0,11.0,11.0,3.0,10.0,2.0,244.0,31.0,53.0,57.0,,,,,4.0,11.0,6.0,7.0,16.0,7.0,18.0,36.0,41.0,,1.0,1.58,,35.0,61.0,,10.0,5.0,9.0,2.0,,45.0,131.0,0.0,0.0,16.0,17.0,46.0,3.0,322.0,,,0.0,7.0,5.0,6.0,8.0,7.0,,,3.0,29.0,2.0,15.0,15.0,7.0,17.0,1.0
48772,2023,11041327,Geylang Int.,DPMM,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-geylang-international/UkbsKGn#id:11041327,28/06/2023,07:45,1,48772,275.0,26.0,42.0,49.0,,,,,4.0,11.0,4.0,9.0,16.0,9.0,20.0,30.0,42.0,,3.0,2.32,,30.0,40.0,,12.0,3.0,9.0,4.0,,51.0,139.0,0.0,0.0,20.0,31.0,46.0,3.0,339.0,1.0,,0.0,10.0,10.0,4.0,8.0,3.0,,,3.0,25.0,4.0,18.0,18.0,3.0,27.0,1.0,316.0,16.0,41.0,51.0,,,,,2.0,17.0,3.0,5.0,13.0,10.0,16.0,25.0,33.0,,5.0,2.52,,45.0,58.0,,10.0,2.0,14.0,4.0,,46.0,142.0,1.0,0.0,15.0,23.0,36.0,2.0,381.0,0.0,,0.0,8.0,5.0,6.0,5.0,1.0,,,7.0,14.0,4.0,13.0,13.0,1.0,18.0,3.0
48772,2023,11041328,Tampines Rovers,Albirex Niigata,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tampines-rovers/TkbsGGn#id:11041328,20/12/2025,07:30,1,48772,227.0,16.0,40.0,41.0,,,,,1.0,19.0,4.0,7.0,14.0,97.0,16.0,23.0,36.0,,,1.14,,,,,15.0,3.0,8.0,8.0,,51.0,145.0,,1.0,41.0,27.0,43.0,2.0,286.0,,,1.0,5.0,3.0,3.0,3.0,1.0,,,0.0,18.0,8.0,8.0,8.0,1.0,,3.0,478.0,20.0,39.0,59.0,,,,,7.0,13.0,8.0,6.0,10.0,105.0,20.0,30.0,37.0,,,1.71,,,,,12.0,1.0,6.0,2.0,,51.0,149.0,,0.0,23.0,26.0,37.0,2.0,534.0,,,0.0,10.0,5.0,9.0,11.0,3.0,,,6.0,19.0,2.0,21.0,21.0,3.0,,2.0
48772,2023,11041329,DPMM,Young Lions,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-young-lions/HGnsKGn#id:11041329,24/06/2023,06:00,1,48772,274.0,21.0,41.0,48.0,,,,,1.0,21.0,5.0,3.0,11.0,6.0,13.0,18.0,42.0,,5.0,0.88,,30.0,40.0,,14.0,5.0,3.0,3.0,,57.0,142.0,0.0,0.0,19.0,19.0,28.0,1.0,323.0,,,0.0,5.0,4.0,2.0,2.0,1.0,,,6.0,12.0,3.0,7.0,7.0,1.0,10.0,3.0,309.0,19.0,46.0,52.0,,,,,3.0,16.0,4.0,4.0,10.0,14.0,13.0,19.0,32.0,,2.0,1.64,,21.0,32.0,,15.0,2.0,8.0,2.0,,41.0,136.0,3.0,0.0,12.0,22.0,38.0,0.0,364.0,,,0.0,6.0,3.0,9.0,9.0,2.0,,,0.0,24.0,2.0,15.0,15.0,2.0,12.0,2.0
