season_id,season_label,event_id,home_team,away_team,match_url,match_date,home_expected_goals,away_expected_goals,is_future_fixture
48772,2023,11041368,Tampines Rovers,Tanjong Pagar Utd.,https://www.sofascore.com/football/match/tampines-rovers-tanjong-pagar-united/NkbsTkb#id:11041368,2023-05-14,5.23,1.42,0
48772,2023,11041369,DPMM,Lion City Sailors,https://www.sofascore.com/football/match/brunei-dpmm-fc-lion-city-sailors/QkbsKGn#id:11041369,2023-05-13,2.07,1.9,0
48772,2023,11041370,Hougang Utd,Geylang Int.,https://www.sofascore.com/football/match/hougang-united-geylang-international/UkbsIGn#id:11041370,2023-05-12,1.65,1.71,0
48772,2023,11041371,Tampines Rovers,DPMM,https://www.sofascore.com/football/match/brunei-dpmm-fc-tampines-rovers/TkbsKGn#id:11041371,2023-04-20,1.11,1.72,0
48772,2023,11041372,Hougang Utd,Tampines Rovers,https://www.sofascore.com/football/match/hougang-united-tampines-rovers/TkbsIGn#id:11041372,2023-04-16,1.36,4.48,0
48772,2023,11041373,Geylang Int.,Balestier Khalsa,https://www.sofascore.com/football/match/geylang-international-balestier-khalsa/OkbsUkb#id:11041373,2023-04-12,2.89,0.78,0
48772,2023,11041374,Young Lions,Lion City Sailors,https://www.sofascore.com/football/match/young-lions-lion-city-sailors/QkbsHGn#id:11041374,2023-04-15,1.06,2.32,0
48772,2023,11041375,Hougang Utd,Lion City Sailors,https://www.sofascore.com/football/match/hougang-united-lion-city-sailors/QkbsIGn#id:11041375,2023-04-10,1.74,2.13,0
48772,2023,11041376,Tampines Rovers,Hougang Utd,https://www.sofascore.com/football/match/hougang-united-tampines-rovers/TkbsIGn#id:11041376,2023-06-10,2.41,0.66,0
48772,2023,11041377,Young Lions,DPMM,https://www.sofascore.com/football/match/brunei-dpmm-fc-young-lions/HGnsKGn#id:11041377,2023-04-11,2.3,2.1,0
48772,2023,11041378,Albirex Niigata,Tanjong Pagar Utd.,https://www.sofascore.com/football/match/albirex-niigata-singapore-tanjong-pagar-united/NkbsGGn#id:11041378,2023-06-24,2.81,0.53,0
48772,2023,11041379,Tanjong Pagar Utd.,Hougang Utd,https://www.sofascore.com/football/match/hougang-united-tanjong-pagar-united/NkbsIGn#id:11041379,2023-04-06,1.63,1.56,0
48772,2023,11041380,Hougang Utd,DPMM,https://www.sofascore.com/football/match/brunei-dpmm-fc-hougang-united/IGnsKGn#id:11041380,2023-03-31,1.91,0.93,0
48772,2023,11041381,Tampines Rovers,Lion City Sailors,https://www.sofascore.com/football/match/tampines-rovers-lion-city-sailors/QkbsTkb#id:11041381,2023-03-31,2.4,1.09,0
48772,2023,11041382,Balestier Khalsa,Albirex Niigata,https://www.sofascore.com/football/match/albirex-niigata-singapore-balestier-khalsa/OkbsGGn#id:11041382,2023-04-05,0.87,4.57,0
