season_id,event_id,home_team,away_team,match_date,match_time,ok,match_url
48772,11041411,Lion City Sailors,Tanjong Pagar Utd.,24/02/2023,07:45,1,https://www.sofascore.com/football/match/lion-city-sailors-tanjong-pagar-united/NkbsQkb#id:11041411
48772,11041412,Tampines Rovers,Geylang Int.,25/02/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-tampines-rovers/TkbsUkb#id:11041412
48772,11041416,Tanjong Pagar Utd.,Geylang Int.,10/03/2023,07:45,1,https://www.sofascore.com/football/match/geylang-international-tanjong-pagar-united/NkbsUkb#id:11041416
48772,11041417,Balestier Khalsa,Young Lions,04/03/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-balestier-khalsa/OkbsHGn#id:11041417
48772,11041420,Albirex Niigata,Hougang Utd,15/03/2023,07:45,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:11041420
48772,11041426,DPMM,Tanjong Pagar Utd.,14/03/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tanjong-pagar-united/NkbsKGn#id:11041426
48772,11041428,Balestier Khalsa,Tampines Rovers,14/03/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:11041428
48772,11041431,Geylang Int.,Hougang Utd,05/03/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-geylang-international/UkbsIGn#id:11041431
48772,11041432,Tanjong Pagar Utd.,Tampines Rovers,03/03/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-tanjong-pagar-united/NkbsTkb#id:11041432
48772,11041433,Geylang Int.,Young Lions,28/02/2023,08:15,1,https://www.sofascore.com/football/match/young-lions-geylang-international/UkbsHGn#id:11041433
48772,11557825,Lion City Sailors,Geylang Int.,16/09/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-lion-city-sailors/QkbsUkb#id:11557825
48772,11557830,Tanjong Pagar Utd.,DPMM,15/09/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tanjong-pagar-united/NkbsKGn#id:11557830
48772,11561284,Balestier Khalsa,Tampines Rovers,15/09/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:11561284
48772,11561285,Albirex Niigata,Hougang Utd,16/09/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:11561285
48772,14025220,Everton,Arsenal,20/12/2025,16:00,1,https://www.sofascore.com/football/match/everton-arsenal/RY#id:14025220
48772,14025226,Man City,West Ham,20/12/2025,11:00,1,https://www.sofascore.com/football/match/west-ham-united-manchester-city/rM#id:14025226
48772,14025228,Newcastle,Chelsea,20/12/2025,08:30,1,https://www.sofascore.com/football/match/newcastle-united-chelsea/NO#id:14025228
48772,14025230,Tottenham,Liverpool,20/12/2025,13:30,1,https://www.sofascore.com/football/match/liverpool-tottenham-hotspur/IsU#id:14025230
48772,14083185,Real Madrid,Sevilla,20/12/2025,16:00,1,https://www.sofascore.com/football/match/sevilla-real-madrid/EgbsIgb#id:14083185
48772,15035359,Man Utd,Bournemouth,15/12/2025,16:00,1,https://www.sofascore.com/football/match/bournemouth-manchester-united/Kkb#id:15035359
48772,15200513,Guadalajara,Barcelona,16/12/2025,16:30,1,https://www.sofascore.com/football/match/guadalajara-barcelona/rgbsFLj#id:15200513
48772,15200524,CF Talavera,Real Madrid,17/12/2025,16:00,1,https://www.sofascore.com/football/match/cf-talavera-real-madrid/EgbstQFb#id:15200524
59708,12246910,Tampines Rovers,Lion City Sailors,24/05/2025,06:00,1,https://www.sofascore.com/football/match/tampines-rovers-lion-city-sailors/QkbsTkb#id:12246910
59708,12246916,Balestier Khalsa,Albirex Niigata,25/05/2025,06:00,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-balestier-khalsa/OkbsGGn#id:12246916
59708,12246917,Tanjong Pagar Utd.,Geylang Int.,25/05/2025,06:00,1,https://www.sofascore.com/football/match/geylang-international-tanjong-pagar-united/NkbsUkb#id:12246917
59708,12246922,Balestier Khalsa,Hougang Utd,24/04/2025,07:45,1,https://www.sofascore.com/football/match/hougang-united-balestier-khalsa/OkbsIGn#id:12246922
59708,12246924,Hougang Utd,DPMM,24/05/2025,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-hougang-united/IGnsKGn#id:12246924
59708,12246925,Albirex Niigata,Lion City Sailors,25/04/2025,08:15,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-lion-city-sailors/QkbsGGn#id:12246925
59708,12246929,Tampines Rovers,Balestier Khalsa,20/04/2025,06:00,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:12246929
59708,12246932,DPMM,Albirex Niigata,19/04/2025,08:15,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-albirex-niigata-singapore/GGnsKGn#id:12246932
59708,12246933,Tanjong Pagar Utd.,Hougang Utd,20/04/2025,06:00,1,https://www.sofascore.com/football/match/hougang-united-tanjong-pagar-united/NkbsIGn#id:12246933
59708,12246934,Young Lions,Geylang Int.,19/04/2025,06:00,1,https://www.sofascore.com/football/match/young-lions-geylang-international/UkbsHGn#id:12246934
