season_id,event_id,fetch_ok,away_accurate_passes,away_aerial_duels,away_aerial_duels_total,away_ball_possession,away_big_chances,away_big_chances_missed,away_big_chances_scored,away_big_saves,away_blocked_shots,away_clearances,away_corner_kicks,away_crosses,away_crosses_total,away_dispossessed,away_dribbles,away_dribbles_total,away_duels,away_errors_lead_to_a_goal,away_errors_lead_to_a_shot,away_expected_goals,away_final_third_entries,away_final_third_phase,away_final_third_phase_total,away_fouled_in_final_third,away_fouls,away_free_kicks,away_goal_kicks,away_goalkeeper_saves,away_goals_prevented,away_ground_duels,away_ground_duels_total,away_high_claims,away_hit_woodwork,away_interceptions,away_long_balls,away_long_balls_total,away_offsides,away_passes,away_penalty_saves,away_recoveries,away_red_cards,away_shots_inside_box,away_shots_off_target,away_shots_on_target,away_shots_outside_box,away_tackles,away_tackles_won,away_tackles_won_total,away_through_balls,away_throw_ins,away_total_saves,away_total_shots,away_total_shots__totalshotsongoal,away_total_tackles,away_touches_in_penalty_area,away_yellow_cards,home_accurate_passes,home_aerial_duels,home_aerial_duels_total,home_ball_possession,home_big_chances,home_big_chances_missed,home_big_chances_scored,home_big_saves,home_blocked_shots,home_clearances,home_corner_kicks,home_crosses,home_crosses_total,home_dispossessed,home_dribbles,home_dribbles_total,home_duels,home_errors_lead_to_a_goal,home_errors_lead_to_a_shot,home_expected_goals,home_final_third_entries,home_final_third_phase,home_final_third_phase_total,home_fouled_in_final_third,home_fouls,home_free_kicks,home_goal_kicks,home_goalkeeper_saves,home_goals_prevented,home_ground_duels,home_ground_duels_total,home_high_claims,home_hit_woodwork,home_interceptions,home_long_balls,home_long_balls_total,home_offsides,home_passes,home_penalty_saves,home_recoveries,home_red_cards,home_shots_inside_box,home_shots_off_target,home_shots_on_target,home_shots_outside_box,home_tackles,home_tackles_won,home_tackles_won_total,home_through_balls,home_throw_ins,home_total_saves,home_total_shots,home_total_shots__totalshotsongoal,home_total_tackles,home_touches_in_penalty_area,home_yellow_cards
48772,15035359,1,202,26,50,43,6,4,2,1,0,29,4,3,17,7,9,18,52,2,,1.94,65,76,125,3,12,15,12,5,-0.6402,37,70,,0,8,15,55,1,300,,43,,9,5,9,5,14,8,14,0,20,5,14,14,14,24,3,310,24,50,57,2,0,2,1,10,47,5,6,21,4,7,17,48,0,,3.4,53,100,141,3,15,12,4,5,-0.7022,33,70,,1,3,16,45,0,393,,41,,18,6,9,7,16,8,16,1,19,5,25,25,16,49,2
48772,15200513,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,15200524,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59708,12246910,1,294,5,16,42,,,,,2,18,6,0,6,4,9,9,26,,1,0.97,,17,36,,10,0,9,8,,20,80,1,0,10,13,33,2,347,,,0,8,3,4,1,3,,,1,11,8,9,9,3,14,2,575,9,15,58,,,,,2,11,9,8,22,4,12,14,38,,3,2.23,,61,73,,6,1,9,4,,28,80,0,0,8,26,41,9,628,,,0,10,5,8,5,0,,,8,18,4,15,15,0,23,0
59708,12246916,1,389,12,25,53,,,,,3,6,6,5,18,5,21,28,40,,3,0.64,,48,65,,10,5,6,3,,44,113,1,0,15,26,45,0,461,,,0,6,4,4,5,4,,,3,13,3,11,11,4,13,4,407,13,27,47,,,,,5,22,5,7,18,5,18,20,39,,1,1.83,,36,51,,12,3,8,2,,40,106,0,1,22,17,36,1,478,,,0,9,3,6,6,6,,,3,9,2,15,15,6,26,1
59708,12246917,1,347,6,18,54,,,,,4,12,3,11,29,4,21,26,33,,6,1.89,,45,68,,13,3,12,1,,46,136,,1,13,28,55,2,440,,,0,10,7,7,9,3,,,3,15,1,19,19,3,25,3,230,10,21,46,,,,,4,17,2,10,25,6,20,24,34,,3,2.62,,27,46,,10,3,12,4,,46,142,,0,22,25,60,2,322,,,0,14,8,4,2,8,,,3,22,4,16,16,8,28,2
59708,12246922,1,258,7,19,44,,,,,0,20,2,3,8,12,6,12,32,,1,1.05,,19,42,,13,2,3,6,,37,116,,1,23,17,40,1,330,,,0,6,6,2,3,2,,,1,16,6,9,9,2,8,4,418,13,23,56,,,,,7,5,5,8,23,7,22,28,44,,1,2.51,,81,97,,13,2,5,1,,57,135,,1,12,17,30,3,487,,,0,12,8,8,12,3,,,0,31,1,24,24,3,25,2
59708,12246924,1,309,4,18,44,,,,,3,10,8,5,15,4,17,20,31,,5,2.04,,34,52,,8,1,15,4,,32,98,0,1,20,24,45,2,376,,,0,8,4,8,8,0,,,1,14,4,16,16,0,19,2,422,16,20,56,,,,,6,16,4,8,21,4,24,29,48,,2,3.01,,55,70,,8,3,8,5,,40,96,2,1,20,27,41,0,477,,,0,14,12,6,11,0,,,0,9,5,25,25,0,32,3
59708,12246925,1,552,15,20,59,,,,,10,8,11,9,29,2,34,34,58,,1,2.7,,65,78,,6,4,5,2,,54,97,,1,8,12,24,1,614,,,0,18,10,6,9,1,,,3,8,2,27,27,1,41,1,327,5,20,41,,,,,1,23,4,0,2,5,5,10,19,,0,0.22,,23,34,,6,0,15,4,,18,96,,0,15,31,50,1,368,,,0,2,2,2,3,5,,,6,6,4,5,5,5,2,2
59708,12246929,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59708,12246932,1,469,16,31,68,,,,,5,3,8,4,20,7,19,24,45,,0,1.97,,59,72,,13,3,7,1,,41,94,,1,13,22,34,2,538,,,0,10,6,3,5,1,,,1,16,1,15,15,1,23,2,203,10,32,32,,,,,1,31,0,2,5,8,8,17,32,,2,1.14,,14,23,,9,3,16,3,,30,92,,0,20,16,33,1,246,,,0,3,1,4,3,5,,,4,7,3,6,6,5,6,1
59708,12246933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59708,12246934,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59708,12246935,1,388,7,22,52,,,,,3,17,3,6,16,7,8,16,31,,4,0.93,,27,43,,13,2,12,6,,37,118,,0,18,11,30,0,453,,,0,8,3,5,3,5,,,0,19,6,11,11,5,14,1,343,8,21,48,,,,,3,12,5,4,14,7,13,18,35,,2,2.38,,36,50,,13,7,5,5,,41,117,,1,11,16,34,3,405,,,0,8,6,6,8,4,,,2,17,5,16,16,4,20,1
